District,Total Enrollment,Total Revenue
MERRILL AREA SCHOOL DISTRICT,3431,39892
MERRILL COMMUNITY DIST 5,675,7464
MERRILLVILLE COMMUNITY SCHOOL CORPORATION,6652,97707
MERRIMACK TOWN SCHOOL DISTRICT,3923,65841
MERRIMACK VALLEY SCHOOL DISTRICT,2609,39239
MERRITT SCH DIST 2,793,6726
MERTON COMMUNITY SCHOOL DISTRICT,893,11022
MESA CO VALLEY SCH DIST 51,21746,202571
MESA UNIFIED SCHOOL DISTRICT,63849,528016
MESA UNION ELEM SCH DIST,1385,7963
MESA VISTA CONSOLIDATED SCHOOL DISTRICT,362,6398
MESABI EAST SCHOOL DIST #2711,932,16388
MESICK CONS SCH DIST 6,627,6996
MESQUITE IND SCH DISTRICT 914,40273,413867
METAMORA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 1,872,7626
METAMORA TOWNSHIP HIGH SCHOOL DISTRICT 122,963,14031
METCALFE CO SCH DIST,1655,18612
METHACTON SCH DIST,4974,102158
METHOW VALLEY SCHOOL DISTRICT 350,635,7969
METHUEN CITY SCHOOLS,6953,106509
METRO NASHVILLE PUBLIC SCHOOLS,84069,951865
METTAWEE COMMUNITY SCHOOL UD #47,170,3365
METUCHEN BORO SCH DIST,2151,41343
MEXIA IND SCH DIST 903,1973,19759
MEXICO CENTRAL SCH DIST,2155,54965
MEXICO SCH DIST 59,2445,24908
MEYERSDALE AREA SCH DIST,868,14081
MEYERSVILLE IND SCH DIST 906,115,1262
MFL MARMAC SCHOOL DISTRICT,824,10266
MIAMI EAST LOCAL SCH DIST,1254,15852
MIAMI IND SCH DIST 902,209,13131
MIAMI SCH DIST 23,2526,19133
MIAMI SCH DIST R 1,183,2631
MIAMI SCHOOL DISTRICT R-1,60,1224
MIAMI TRACE LOCAL SCH DIST,2561,33083
MIAMI UNIFIED SCHOOL DISTRICT 40,1128,8532
MIAMI YODER SCH DIST 60,278,3718
MIAMI-DADE COUNTY PUBLIC SCHOOL DISTRICT,356964,3543218
MIAMISBURG CITY SCH DIST,5350,65578
MICHIGAN CENTER SCH DIST,1425,13928
MICHIGAN CITY AREA SCHOOLS,6032,76211
MID PENINSULA SCHOOL,212,2577
MID PRAIRIE COMMUNITY SCHOOL DISTRICT,1228,17044
MID VALLEY SCH DIST,1738,24083
MID-BUCHANAN SCH DIST R 5,693,7274
MIDDLE COUNTRY CENTRAL SCH DIST,10254,221756
MIDDLE GROVE SCH DIST C1,49,798
MIDDLE TWP SCH DIST,2486,49321
MIDDLEBERG SCH DIST 96,204,1912
MIDDLEBOROUGH TOWN SCH,3120,48803
MIDDLEBURG CENTRAL SCH,805,21042
MIDDLEBURY COMMUNITY SCHOOLS,4316,48492
MIDDLEBURY INC SCH DIST,461,7363
MIDDLEBURY UNION HIGH SCH DISTRICT 3,860,19193
MIDDLESBORO IND SCH DIST,1351,14655
MIDDLESEX BORO SCH DIST,2081,44878
MIDDLESEX CO ED SERV COMM,615,80506
MIDDLESEX CO SCHS,1266,16330
MIDDLESEX COUNTY VOCATIONAL SCHOOL DISTRICT,2024,60956
MIDDLESEX TOWN SCH DIST,179,2863
MIDDLETON CROSS PLAINS SCHOOL DISTRICT,6754,90194
MIDDLETON SCHOOL DISTRICT,268,3608
MIDDLETON SCHOOL DISTRICT 134,3729,27131
MIDDLETON TOWN SCHS,756,12708
MIDDLETOWN AREA SCH DIST,2293,43537
MIDDLETOWN CITY SCH DIST,7318,166667
MIDDLETOWN CITY SCHOOLS,4727,105658
MIDDLETOWN CTY SCH DIST,6308,96127
MIDDLETOWN SPRG VILLAGE SCH DIST,125,2392
MIDDLETOWN TOWN SCHS,2285,39595
MIDDLETOWN TWP SCH DIST,9668,176561
MIDDLETOWN UNIFIED SCHOOL DISTRICT,1667,15956
MIDD-WEST SCHOOL DISTRICT,2177,35355
MIDFIELD CITY SCHOOL DISTRICT,1163,12299
MIDKOTA SCHOOL DISTRICT 7,142,3210
MIDLAND BORO SCH DIST,286,6152
MIDLAND COMMUNITY SCHOOL DISTRICT,565,7079
MIDLAND COMMUNITY UNIT SCHOOL DISTRICT 7,702,8428
MIDLAND IND SCH DIST 901,24369,271234
MIDLAND PARK SCH DIST,991,26280
MIDLAND PUBLIC SCHOOLS,7658,81151
MIDLAND SCH DISTRICT,561,6151
MIDLOTHIAN IND SCH DISTRICT 908,7899,81824
MIDLOTHIAN SCHOOL DISTRICT 143,1918,23230
MIDVALE SCHOOL DISTRICT 433,132,1694
MIDVIEW LOCAL SCH DIST,2939,36797
MIDWAY ELEM SCH DIST,120,2130
MIDWAY IND SCH DIST 903,7664,76203
MIDWAY IND SCH DIST 905,97,1516
MIDWAY PUB SCH DIST 128,202,3683
MIDWAY SCH DIST 127,222,2431
MIDWAY SCH DIST R-1,437,5628
MIDWEST CENTRAL COMMUNITY UNIT 191,956,11440
MIDWEST-DEL CITY SCH DIST 52,14741,121523
MIFFLIN CO SCHOOL DIST,5180,74031
MIFFLINBURG AREA SCH DIST,2008,29514
MILACA IND SCH DIST 912,1971,22016
MILAN AREA SCH DIST,2259,28727
MILAN CONSOLIDATED SCHOOL CORPORATION,1091,13004
MILAN SCH DIST C 2,640,6892
MILAN SPECIAL SCHOOL DISTRICT,2041,19198
MILAN TOWN SCHOOL DIST,177,3350
MILANO IND SCH DIST 903,449,4822
MILBANK SCHOOL DISTRICT 25-4,904,9215
MILBURN SCH DIST 29,189,1763
MILDRED IND SCH DISTRICT 910,686,8024
MILES CITY ELEM SCH DIST 1,1040,9947
MILES IND SCH DIST 902,438,5425
Milford Area Public Schools District 124,655,9202
MILFORD BORO SCH DIST,96,2583
MILFORD CENTRAL SCH DIST,422,10549
MILFORD EX VLG SCH DIST,6566,93082
MILFORD IND SCH DISTRICT 909,244,2875
MILFORD PUBLIC SCH DIS 5,695,9374
MILFORD PUBLIC SCHOOLS,6249,140059
MILFORD SCHOOL DEPARTMENT,427,5650
MILFORD SCHOOL DISTRICT,2439,36738
MILFORD SCHOOL DISTRICT,4045,53245
MILFORD TOWN SCHS,4176,67949
MILL A SCHOOL DISTRICT 31,29,542
MILL CREEK COMMUNITY SCHOOL CORPORATION,1643,17096
MILL CREEK SCH DIST 2,161,1465
MILL CREEK VALLEY UNIFIED SCHOOL DISTRICT 329,474,6735
MILL RIVER UNION SCHOOL DIST 40,350,9791
MILL VALLEY ELEM SCH DIST,3242,46628
MILLARD CO SCH DIST,3004,30599
MILLARD SCH DIST 17,23702,257628
MILLBRAE ELEMENTARY SCHOOL DISTRICT,2469,32335
MILLBROOK CENTRAL SCH DIST,1058,30160
MILLBURN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 24,1320,21666
MILLBURN TWP SCH DIST,4878,96347
MILLBURY PUBLIC SCHS,1743,28553
MILLCREEK TWP SCH DIST,7205,94083
MILLCREEK WEST UNITY SCH DIST,543,8365
MILLER AREA SCHOOL DISTRICT 29-4,450,4909
MILLER CITY NEW CLEVELAND SCH DIST,469,5415
MILLER CO SCH DIST,1012,11731
MILLER COUNTY SCHOOL DIST. R-3,217,2511
MILLER GROVE IND SCH DIST 907,230,2707
MILLER PLACE UF SCHOOL DIST,2820,66134
MILLER SCH DIST R 2,543,5514
MILLER TOWNSHIP COMMUNITY CONSOLIDATED SCHOOL DISTRICT 210,207,2556
MILLERS RUN UNION SCH DIST 37,174,3888
MILLERSBURG AREA SCHOOL DISTRICT,819,14368
Millington,2770,29309
MILLINGTON COMM SCH DIST,1262,12507
MILLINOCKET TOWN SCHOOLS,496,7704
MILLIS TOWN SCHOOLS,1407,20743
MILLSAP IND SCH DIST 904,880,11008
MILLSTADT COMMUNITY CONSOLIDATED SCHOOL DISTRICT 160,794,9018
MILLSTONE TWP SCH DIST,1177,39457
MILLTOWN BORO SCH DIST,682,16596
MILLVILLE AREA SCH DIST,655,12461
MILLVILLE CITY SCHOOL DISTRICT,5709,114655
MILLVILLE ELEM SCH DIST,266,2407
MILLWOOD SCH DIST 37,971,9188
MILNOR PUB SCH DIST 2,225,3380
MILPITAS UNIFIED SCH DIST,10281,120675
MILROY JT IND SCH DIST 635,46,968
MILTON AREA SCH DIST,2084,31374
MILTON FREEWATER UNIFIED SD 7,1793,19228
MILTON GRADED SCH DIST,1650,30402
MILTON PUBLIC SCHS,4011,64566
MILTON SCHOOL DISTRICT,3370,39357
MILTON TOWN SCH DIST,572,9620
MILTON UNION EX VLG SCH DIST,1438,18591
MILWAUKEE CITY SCHOOL DISTRICT,77316,1223326
MINATARE VIL SCH DIST 2,224,3659
MINCO SCH DIST 2,571,5740
MINDEN SCH DIST 503,788,11221
MINE HILL TWP SCH DIST,369,9865
MINEOLA IND SCH DIST 903,1590,16539
MINEOLA UNION FREE SCHOOL DIST,2784,91280
MINERAL CO SCHS,4192,50157
MINERAL COUNTY SCHOOL DISTRICT,479,7846
MINERAL POINT SCHOOL DISTRICT,731,10420
MINERAL SPRINGS SCHOOL DIST 3,406,8081
MINERAL WELLS IND SCH DIST 903,3344,33469
MINERSVILLE AREA SCHOOL DISTRICT,1218,17060
MINERVA CENTRAL SCH DIST,123,4870
MINERVA LOCAL SCH DIST,1834,21403
MINFORD LOCAL SCH DIST,1482,16545
MINGO CO SCH DIST,4351,56711
MINGUS UNION HIGH SCHOOL DISTRICT 4,1150,10220
MINIDOKA COUNTY SCHOOL DISTRICT 331,4219,31866
MINISINK VALLEY CTL SCH,3992,92254
MINNEAPOLIS SPECIAL SCHOOL DISTRICT 1,36999,680834
MINNEOLA UNIFIED SCHOOL DISTRICT 219,255,3532
MINNEOTA SCH DIST 414,501,6748
MINNETONKA SCH DIST 276,9981,135383
MINNEWASKA SCH DIST 2149,1105,17252
MINNEWAUKAN SCHOOL DISTRICT #5,300,5212
MINOCQUA JOINT SCHOOL DISTRICT,561,9204
MINOOKA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 201,4255,43878
MINOOKA COMMUNITY HIGH SCHOOL DISTRICT 111,2589,43040
MINOT SPEC SCH DIST 1,7616,109261
MINSTER LOCAL SCH DIST,862,11448
MINTO SPEC SCH DIST 20,234,3722
MINUTE MAN VOC-TECH SCH DIST,673,24031
MIO-AU SABLE SCH DIST,565,6037
MIRABILE SCH DIST C 1,70,796
MISHAWAKA CITY SCHOOLS,4768,68040
MISHICOT SCHOOL DISTRICT,825,10775
MISSION IND SCH DIST 908,15396,172309
MISSION UNION ELEM SCHOOL DIST,129,1278
MISSISQUOI VALLEY UNION HIGH SCHOOL DIST 7,809,15352
MISSISSINAWA VALLEY SCHOOL DIST,714,9345
MISSISSINEWA COMMUNITY SCHOOL CORPORATION,2053,25292
MISSOULA CO HIGH SCH DIST,3536,47463
MISSOULA ELEM DIST 1,5255,52278
MISSOURI CITY SCH DIST 56,39,622
MISSOURI VALLEY COMMUNITY SCHOOL DISTRICT,873,11247
MITCHELL CO SCH,1954,20885
MITCHELL CO SCH DIST,2397,26615
MITCHELL COMMUNITY SCHOOLS,1733,19689
MITCHELL PUBLIC SCHOOL DIST 31,698,8073
MITCHELL SCH DIST 55,64,1401
MITCHELL SCHOOL DISTRICT 17-2,2745,27372
MOBERLY SCH DIST,2260,25300
MOBILE COUNTY SCHOOL DISTRICT,57910,557750
MOBRIDGE-POLLOCK SCHOOL DISTRICT 62-6,675,7030
MOC-FLOYD VALLEY SCHOOL DISTRICT,1457,16832
MODESTO CITY SCHOOL DISTRICT,30228,350333
MODOC CO SPL SCHS OPER BY CO SUPT,39,7381
MODOC JT UNIFIED SCHOOL DIST,823,9107
MOFFAT CO SCH DIST RE 1,2175,23293
MOFFAT SCHOOL DIST 2,196,13443
MOFFETT SCH DIST 68,389,2830
MOGADORE LOCAL SCH DIST,882,11055
MOHALL LANSFORD SHERWOOD SCHOOL DISTRICT 1,329,5340
MOHAVE VALLEY SCHOOL DISTRICT 16,1383,11892
MOHAWK AREA SCH DIST,1494,22802
MOHAWK LOCAL SCH DIST,982,13158
MOHAWK TRAIL REG SCH DIST,964,20734
MOHAWK VALLEY SCHOOL DISTRICT 17,143,2061
MOJAVE UNIFIED SCHOOL DISTRICT,2696,34343
MOKENA SCHOOL DISTRICT 159,1623,22593
MOLALLA RIVER SCH DIST 35,2745,25517
MOLINE SCHOOL DISTRICT 40,7379,87495
MOMENCE COMMUNITY UNIT SCHOOL DISTRICT 1,1207,14086
MONA SHORES SCH DIST 29,3748,42105
MONADNOCK REGIONAL SCHOOL DIST,1708,33878
MONAHANS-WICKETT PYOTE IND SCH DIST 902,2270,31658
MONDOVI SCHOOL DISTRICT,946,12247
MONESSEN CITY SCH DIST,883,14524
MONETT SCH DIST R-1,2405,29262
MONFORTON ELEM DIST 27,369,4111
MONITEAU COUNTY SCHOOL DIST. C-1,220,2358
MONITEAU COUNTY SCHOOL DIST. R-1,1296,12523
MONITEAU COUNTY SCHOOL DIST. R-5,91,911
MONITEAU SCHOOL DISTRICT,1303,20129
MONKTON TOWN SCH DIST,172,2833
MONMOUTH BEACH BORO SCH DIST,302,5134
MONMOUTH COUNTY VOCATIONAL SCHOOLS,2205,46098
MONMOUTH REG HIGH SCHOOL DIST,951,27688
MONMOUTH-ROSEVILLE COMMUNITY UNIT SCHOOL DISTRICCT 238,1763,17355
MONO CO SPECIAL SCHOOLS,519,10782
MONOMOY REGIONAL SCHOOL DISTRICT,1934,45040
MONONA GROVE SCHOOL DISTRICT,3283,44619
MONONGALIA CO SCH DIST,11296,145181
MONROE CENTRAL SCHOOL CORPORATION,971,11313
MONROE CITY SCH DIST R-1,708,7535
MONROE CITY SCHOOL DISTRICT,2484,34684
MONROE CITY SCHOOL DISTRICT,8330,109397
MONROE CO SCH DIST,1839,21693
MONROE CO SCH DIST,1882,22300
MONROE CO SCH DIST,4016,46537
MONROE CO SCH DIST,5531,45954
MONROE COUNTY COMMUNITY SCHOOL CORPORATION,10925,133565
MONROE COUNTY SCHOOL DISTRICT,2323,20346
MONROE COUNTY SCHOOL DISTRICT,3671,34266
MONROE COUNTY SCHOOL DISTRICT,8478,124086
MONROE ELEM SCH DIST,197,2247
MONROE LOCAL SCHOOL DISTRICT,2555,28556
MONROE SCH DIST,5805,60293
MONROE SCH DIST 11,101,1010
MONROE SCHOOL DISTRICT 1 J,439,5321
MONROE SCHOOL DISTRICT 103,7295,78025
MONROE SCHOOL DISTRICT 70,299,3134
MONROE TOWN SCH DIST,119,3032
MONROE TOWN SCHOOLS,3285,67438
MONROE TWP SCH DIST,6060,97470
MONROE TWP SCH DIST,6313,118190
MONROE-GREGG SCHOOL DISTRICT,1438,16058
MONROEVILLE LOCAL SCH DIST,649,7759
MONROE-WOODBURY CTL SCH DIST,6986,165656
MONROVIA UNIF SCH DIST,5903,67904
MONSON SULTANA JT UNION ELEM SCHOOL DIST,461,4220
MONSON TOWN SCH,1094,18408
MONT VERNON SCHOOL DISTRICT,261,4213
MONTABELLA COMM SCH DIST,806,9437
MONTACHUSETT VOC TECH,1435,31375
MONTAGUE ELEM SCH DIST,200,2378
MONTAGUE IND SCH DIST 908,124,1182
MONTAGUE PUB SCH DIST 2,1515,17577
MONTAGUE TWP SCH DIST,219,9886
MONTANA CITY ELEM DIST 27,470,5160
MONTAUK UNION FREE SCH DIST 6,355,17920
MONTCLAIR PUBLIC SCHOOLS,6685,129967
MONTE ALTO IND SCH DIST 915,1049,13336
MONTE RIO UNION ELEM SCH DIST,89,1457
MONTE VISTA SCH DIST C-8,1130,11383
MONTEBELLO UNIFIED SCHOOL DISTRICT,29062,341093
MONTECITO ELEM SCH DIST,448,12246
MONTEFIORE SPECIAL SCHOOL DIST 1,241,3358
MONTELLO SCHOOL DISTRICT,729,9415
MONTEREY CO SPECIAL SCHOOLS,1828,141490
MONTEREY PENINSULA UNIF SCH DIST,10653,124517
MONTESANO SCHOOL DISTRICT 66,1305,15636
MONTEVIDEO SCH DIST 129,1303,18086
MONTEZUMA COMMUNITY SCHOOL DISTRICT,559,6930
MONTEZUMA CORTEZ SCH DIST RE 1,2787,42720
MONTEZUMA UNIFIED SCHOOL DISTRICT 371,265,3802
MONTGOMERY AREA SCH DIST,918,14310
MONTGOMERY CO SCH DIST,295,4458
MONTGOMERY CO SCH DIST,2889,15329
MONTGOMERY CO SCH DIST,4923,49422
MONTGOMERY CO SCH DIST,32056,272202
MONTGOMERY CO SCH DIST R2,1253,13729
MONTGOMERY CO SCHS,9703,122220
MONTGOMERY COUNTY SCH,4194,42194
MONTGOMERY COUNTY SCHOOL DISTRICT,31716,288198
MONTGOMERY COUNTY SCHOOLS,154434,3159510
MONTGOMERY ELEM SCH DIST,26,688
MONTGOMERY IND SCH DIST 903,7936,80553
MONTGOMERY TOWN SCH DIST,187,2530
MONTGOMERY TWP SCH DIST,4737,91892
MONTICELLO COMMUNITY SCHOOL DISTRICT,1077,14499
MONTICELLO COMMUNITY UNIT SCHOOL DISTRICT 25,1597,20618
MONTICELLO CTL SCH,3035,88416
MONTICELLO SCH DIST 18,2141,22618
MONTICELLO SCH DIST 882,4129,60458
MONTICELLO VILLAGE SCHOOL DISTRICT,376,5714
MONTMORENCY SCHOOL DISTRICT 145,326,3027
MONTOUR SCHOOL DISTRICT,2793,61144
MONTOURSVILLE AREA SCHOOL DIST,2020,27482
MONTPELIER EX VLG SCH DIST,932,12273
MONTPELIER SCH DIST 14,116,1854
MONTPELIER SCHOOL DISTRICT,997,18800
MONTROSE AREA SCH DIST,1408,24845
MONTROSE CO SCHOOL DIST RE-1J,6087,54753
MONTROSE COMM SCH DIST,1413,15010
MONTROSE SCH DIST R 14,107,1433
MONTROSE SCHOOL DISTRICT 43-2,230,2716
MONTVALE BORO SCHOOL DIST,1057,18458
MONTVILLE TOWN SCHOOLS,2347,46085
MONTVILLE TWP SCH DIST,3898,80662
MONUMENT SCH DIST 8,59,1445
MOODY IND SCH DIST 910,696,8119
MOON AREA SCH DIST,3771,66912
MOONACHIE BORO SCH DIST,288,9028
MOORE CO SCH,13003,111327
MOORE ELEM SCH DIST 44,73,1018
MOORE H S DIST 44,39,995
MOORE SCHOOL DISTRICT I-002,23559,192682
MOORELAND SCH DIST I-2,515,5562
MOORESTOWN TWP SCH DIST,3924,93448
MOORESVILLE CITY SCHOOLS,6054,53844
MOORESVILLE CONSOLIDATED SCHOOL CORPORATION,4283,45176
MOORHEAD SCH DIST 152,6060,76276
MOORPARK UNIFIED SCH DIST,6703,68849
MOOSABEC COMMUNITY SCHOOL DISTRICT 17 (917),61,1466
MOOSE LAKE SCH DIST 97,662,7662
MORA IND SCH DIST 332,1688,18312
MORA IND SCHOOL DISTRICT,444,8266
MORAGA SCHOOL DISTRICT,1852,21039
MORAN IND SCH DIST 902,99,1722
MORAN TWP SCH DIST 6,84,1679
MORAVIA CENTRAL SCH,1022,20924
MORAVIA COMMUNITY SCHOOL DISTRICT,365,5240
MOREHOUSE PARISH SCHOOL DISTRICT,4386,54326
MORELAND SCHOOL DISTRICT,4825,59295
MORENCI AREA SCH DIST 10,672,7491
MORENI SCHOOL DISTRICT 18,1500,11612
MORENO VALLEY UNIFIED SCH DIST,34170,388194
MORETOWN SCH DIST,118,2358
MORGAN CO SCH DIST,2066,23205
MORGAN CO SCH DIST,2505,28503
MORGAN CO SCH DIST,2816,21023
MORGAN CO SCH DIST,3226,36527
MORGAN CO SCH DIST R-2,1407,14621
MORGAN CO SCH SYSTEM,3192,28668
MORGAN COUNTY SCHOOL DIST R 1,645,6601
MORGAN COUNTY SCHOOL DISTRICT,7746,78436
MORGAN HILL UNIFIED SCH DIST,9000,106444
MORGAN IND SCH DIST 903,108,1820
MORGAN LOCAL SCH DIST,1983,25639
MORGAN MILL IND SCH DIST 910,120,1219
MORGAN TOWN SCH DIST,30,674
MORIAH CENTRAL SCH DIST,730,16523
MORIARTY SCHOOL DISTRICT 8,2547,31735
MORIN ELEM DIST 17,47,829
MORLEY STANWOOD COMM SCH DIST,1168,12618
MORMON TRAIL COMMUNITY SCHOOL DISTRICT,261,3449
MORNING SUN COMMUNITY SCHOOL DISTRICT,231,3042
MORONGO UNIFIED SCH DIST,9439,92493
MORRICE AREA SCHOOLS,536,5612
MORRILL VIL SCH DIST 11,348,6106
MORRIS AREA PUBLIC SCHOOLS,1032,14448
MORRIS CENTRAL SCH DIST,400,9865
MORRIS CO EDUC SERV COMM,38,26398
MORRIS COMMUNITY HIGH SCHOOL DISTRICT 101,932,15012
MORRIS COUNTY SCHOOL DISTRICT 417,760,9352
MORRIS COUNTY VOCATIONAL SCHOOL DISTRICT,984,23513
MORRIS HILLS REGIONAL DIST,2802,74923
MORRIS PLAINS SCH DIST,613,17498
MORRIS SCH DIST,5232,114665
MORRIS SCH DIST 3,1087,8730
MORRIS SCHOOL DISTRICT 54,1214,13812
MORRISON COMMUNITY UNIT SCHOOL DISTRICT 6,1080,11763
MORRISON SCH DIST 6,535,5403
MORRISONVILLE COMMUNITY UNIT SCHOOL DISTRICT 1,344,3662
MORRISTOWN CENTRAL SCH,350,9268
MORRISTOWN SCHOOL DISTRICT 75,167,1443
MORRISTOWN TOWN SCH DIST,763,14720
MORRIS-UNION JOINTURE COMMISSION,269,40772
MORRISVILLE BORO SCH DIST,876,18489
MORRISVILLE EATON CENTRAL SCHOOL DIST,751,15711
MORROW CO SCH DIST 1,2253,27480
MORTON COMMUNITY UNIT SCHOOL DISTRICT 709,2911,38570
MORTON GROVE SCHOOL DISTRICT 70,889,15927
MORTON IND SCH DIST 901,433,5487
MORTON SCHOOL DISTRICT 214,307,4898
MOSCOW SCHOOL DISTRICT 281,2508,26577
MOSCOW UNIFIED SCHOOL DISTRICT 209,217,3588
MOSELEY SCH DIST 34,226,1823
MOSES LAKE SCHOOL DISTRICT 161,8339,94144
MOSHANNON VALLEY SCH DIST,890,14373
MOSINEE SCHOOL DISTRICT,2011,25905
MOSQUERO SCHOOL DISTRICT,42,2437
MOSS POINT MUN SEP SCH DIST,2182,25827
MOSS SCH DIST 1,292,3141
MOSSYROCK SCHOOL DISTRICT 206,533,7066
MOTHER LODE UNION ELEM SCH DT,1088,10350
MOTLEY CO IND SCH DIST 901,167,2848
MOTT-REGENT SCH DIST 1,243,4287
MOULTON IND SCH DIST 902,317,6725
MOULTONBOROUGH SCH DIST,509,15888
MOULTON-UDELL COMMUNITY SCHOOL DISTRICT,241,3091
MOUNDRIDGE UNIFIED SCHOOL DISTRICT 423,434,5785
MOUNDS SCH DIST 5,585,5046
MOUNDS VIEW IND SCHOOL DIST 621,10987,159869
MOUNT ABRAHAM UNION HIGH SCHOOL,714,14285
MOUNT ADAMS SCHOOL DISTRICT 209,963,13810
MOUNT ARLINGTON BORO SCH DIST,346,11427
MOUNT AYR COMMUNITY SCHOOL DISTRICT,690,10145
MOUNT BAKER SCHOOL DISTRICT 507,1895,24235
MOUNT DESERT COMMUNITY SCHOOL DISTRICT 7 (907),412,10340
MOUNT DESERT ELEMENTARY SCHOOL,182,3975
MOUNT GILEAD EX VLG SCHOOL DIST,1228,15004
MOUNT HEALTHY CITY SCHOOL DIST,3212,47313
MOUNT HOLLY TWP SCH DIST,998,21001
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,1149,24745
MOUNT MORRIS CENTRAL SCH,550,13394
MOUNT PLEASANT ELEM SCH DIST,2502,85715
MOUNT SINAI UNION FREE SCHOOL DIST,2410,55245
MOUNT VERNON CITY SCH DIST,3792,42099
MOUNTAIN BROOK SCHOOLS,4461,58555
MOUNTAIN ELEM SCH DIST,120,1582
MOUNTAIN EMPIRE UNIF SCH DIST,3804,25948
MOUNTAIN GROVE SCH DIST R-3,1517,13928
MOUNTAIN HOME SCH DIST 9,3986,37873
MOUNTAIN HOME SCHOOL DISTRICT 193,3878,26732
MOUNTAIN HOUSE ELEM SCH,22,534
MOUNTAIN IRON-BUHL SCH DIST 712,513,9404
MOUNTAIN LAKE IND SCHOOL DIST 173,505,7003
MOUNTAIN LAKES BORO SCH DIST,1551,39782
MOUNTAIN PINE SCH DIST 46,555,7000
MOUNTAIN UNION ELEM SCH DIST,68,1512
MOUNTAIN VALLEY SCHOOL DIST RE-1,138,2302
MOUNTAIN VALLEY UNIF SCH DIST,296,5538
MOUNTAIN VIEW ELEM DIST 64,21,151
MOUNTAIN VIEW ELEM SCHOOL DIST,7345,88643
MOUNTAIN VIEW SCH DIST,1025,18549
MOUNTAIN VIEW SCH DIST,1729,16662
MOUNTAIN VIEW SCHOOL DISTRICT 244,1209,12802
MOUNTAIN VIEW WHISMAN SCHOOL DISTRICT,5065,68049
MOUNTAIN VIEW-BIRCH TREE SCH DIST R-3,1244,10870
MOUNTAINAIR SCHOOL DISTRICT,274,4520
MOUNTAINBURG SCH DIST 16,700,8044
MOUNTAINSIDE BORO SCHOOL DIST,747,17079
MOYERS SCHOOL DISTRICT 22,214,2128
MT AIRY CITY SCHOOLS,1665,16749
MT ANGEL SCH DIST 91,691,8784
MT ANTHONY UNION HIGH SCH DIST 14,1557,26928
MT BALDY ELEM SCH DIST,167,1306
MT CALM IND SCH DIST 910,161,2374
MT CARMEL AREA SCHOOL DIST,1512,18467
MT CLEMENS COMM SCH DIST,1108,20008
MT DIABLO UNIFIED SCHOOL DISTRICT,31923,364859
MT ENTERPRISE IND SCH DIST 907,410,4019
MT EPHRAIM BORO SCH DIST,428,11245
MT GREYLOCK REG SCH DIST,550,12068
MT HOLLY TOWN SCH DIST,82,1756
MT HOREB AREA SCHOOL DISTRICT,2538,29433
MT IDA SCH DIST 20,483,5502
MT LAUREL TWP SCH DIST,4216,76543
MT LEBANON SCH DIST,5305,89709
MT MANSFIELD UNION SCH DIST 17,1582,28279
MT MORRIS CON SCH DIST 3,2025,21423
MT OLIVE COMMUNITY UNIT SCHOOL DISTRICT 5,538,5490
MT OLIVE TWP SCH DIST,4676,94539
MT PLEASANT AREA SCH DIST,2071,32307
MT PLEASANT CENTRAL SCH DIST,1923,56543
MT PLEASANT CITY SCH DIST,3491,44986
MT PLEASANT COMMUNITY SCHOOL DISTRICT,2074,25823
MT PLEASANT IND SCH DIST 902,5424,53314
MT PLEASANT SCH DIST 4,259,3899
MT PLEASANT SCHOOL DISTRICT 29-93,57,682
MT PLEASANT TOWNSHIP COMMUNITY SCHOOL CORPORATION,2283,24724
MT PROSPECT SCHOOL DISTRICT 57,2252,29375
MT PULASKI COMMUNITY UNIT SCHOOL DISTRICT 23,546,7314
MT SHASTA UNION SCH DIST,517,5213
MT UNION AREA SCH DIST,1499,21152
MT VERNON CITY SCH DIST,8684,241030
MT VERNON COMMUNITY SCHOOL CORPORATION,3275,46507
MT VERNON COMMUNITY SCHOOL DISTRICT,1123,16144
MT VERNON IND SCH DISTRICT 901,1661,17738
MT VERNON METROPOLITAN SCHOOL DISTRICT,2200,31632
MT VERNON SCH DIST R-5,1481,13100
MT VERNON SCHOOL DISTRICT 17-3,208,2701
MT VERNON SCHOOL DISTRICT 320,6637,85013
MT VERNON SCHOOL DISTRICT 80,1629,21445
MT VERNON TOWNSHIP HIGH SCHOOL DISTRICT 201,1235,35772
MT VERNON/ENOLA SCHOOL DIST,530,5292
MT VIEW ELEMENTARY SCH DIST,2611,27892
MT VIEW-GOTEBO SCH DIST I-3,248,3230
MT VW-LOS ALTOS UNI HIGH SCHOOL DIST,3881,78742
MT ZION COMMUNITY UNIT SCHOOL DISTRICT 3,2479,23746
MUENSTER IND SCH DIST,501,6271
MUHLENBERG CO SCH DIST,5153,59651
MUHLENBERG SCHOOL DISTRICT,3573,54000
MUKILTEO SCHOOL DISTRICT 6,15128,184170
MUKWONAGO SCHOOL DISTRICT,4673,57301
MULBERRY ELEM SCH DIST,85,935
MULBERRY GROVE COMMUNITY UNIT SCHOOL DISTRICT 1,431,4492
MULBERRY SCH DIST 101,366,4422
MULDROW SCH DIST 3,1515,12224
MULESHOE IND SCH DIST 901,1423,16751
